Date,Product,Quantity,Revenue
2025-08-17,Widget B,49,1029
2025-06-13,Widget B,26,494
2025-11-21,Widget E,19,589
2025-04-07,Widget A,40,1600
2025-05-16,Widget A,17,425
2025-02-19,Widget B,21,630
2025-03-10,Widget E,44,2112
2025-06-26,Widget C,33,1320
2025-12-29,Widget B,15,270
2025-06-16,Widget B,50,950
2025-03-05,Widget E,28,1400
2025-06-04,Widget D,11,297
2025-05-01,Widget C,50,1900
2025-07-19,Widget D,49,637
2025-01-09,Widget C,39,819
2025-06-18,Widget B,10,350
2025-02-04,Widget A,29,986
2025-12-14,Widget D,2,96
2025-10-01,Widget E,9,351
2025-04-07,Widget D,24,1032
2025-01-11,Widget A,8,328
2025-08-04,Widget B,6,246
2025-11-03,Widget C,43,516
2025-05-01,Widget E,45,585
2025-07-22,Widget A,37,370
2025-04-11,Widget B,50,2050
2025-01-12,Widget A,43,1849
2025-02-20,Widget A,23,322
2025-04-02,Widget A,23,690
2025-12-17,Widget C,20,520
2025-04-15,Widget E,19,399
2025-07-02,Widget E,2,64
2025-08-26,Widget D,21,504
2025-03-22,Widget C,22,594
2025-03-16,Widget B,36,1764
2025-11-06,Widget E,10,170
2025-01-06,Widget B,38,1292
2025-07-17,Widget E,46,644
2025-05-31,Widget A,26,1222
2025-03-23,Widget B,41,1435
2025-01-26,Widget B,12,396
2025-01-13,Widget B,50,2350
2025-05-21,Widget A,2,68
2025-04-20,Widget D,23,414
2025-05-31,Widget C,38,874
2025-06-26,Widget E,23,667
2025-08-21,Widget B,43,645
2025-10-11,Widget A,32,448
2025-09-21,Widget C,27,378
2025-08-04,Widget E,17,629
2025-10-19,Widget E,2,34
2025-04-25,Widget C,5,145
2025-11-13,Widget C,38,1330
2025-04-25,Widget E,19,703
2025-09-10,Widget D,44,2112
2025-03-09,Widget E,47,2021
2025-01-06,Widget A,50,2450
2025-02-12,Widget A,27,486
2025-06-11,Widget A,19,456
2025-02-18,Widget A,39,390
2025-06-05,Widget B,12,468
2025-03-01,Widget E,27,1080
2025-09-28,Widget C,32,1600
2025-02-07,Widget E,2,50
2025-05-04,Widget B,31,620
2025-04-23,Widget D,38,1520
2025-03-15,Widget E,43,1462
2025-06-03,Widget E,22,594
2025-03-16,Widget D,37,703
2025-07-20,Widget B,34,1054
2025-05-18,Widget C,34,1666
2025-04-20,Widget E,39,585
2025-05-15,Widget B,24,312
2025-08-27,Widget B,27,999
2025-05-30,Widget D,42,504
2025-04-25,Widget A,26,1066
2025-01-23,Widget D,40,1360
2025-10-19,Widget B,8,232
2025-05-31,Widget B,30,390
2025-04-08,Widget D,31,1426
2025-10-14,Widget C,37,777
2025-02-13,Widget D,19,798
2025-10-22,Widget E,16,304
2025-07-03,Widget C,35,910
2025-06-20,Widget D,21,714
2025-10-28,Widget C,16,752
2025-07-20,Widget A,33,1551
2025-03-19,Widget C,10,150
2025-08-27,Widget D,6,270
2025-03-26,Widget D,7,168
2025-07-25,Widget C,21,588
2025-03-25,Widget A,5,150
2025-04-08,Widget A,17,799
2025-03-20,Widget B,19,931
2025-12-26,Widget B,43,1505
2025-03-01,Widget D,25,1025
2025-03-17,Widget C,1,41
2025-06-29,Widget D,36,828
2025-02-05,Widget E,12,516
2025-03-07,Widget E,44,1672
2025-11-17,Widget E,8,360
2025-05-28,Widget E,45,855
2025-09-01,Widget C,4,104
2025-01-26,Widget A,29,435
2025-07-16,Widget B,31,1302
2025-02-15,Widget E,28,812
2025-10-07,Widget A,19,608
2025-03-10,Widget B,11,528
2025-01-14,Widget C,1,32
2025-05-14,Widget B,5,90
2025-08-22,Widget E,21,819
2025-08-13,Widget A,36,1656
2025-04-17,Widget B,48,1632
2025-06-29,Widget A,34,884
2025-07-08,Widget D,29,435
2025-01-16,Widget D,33,1650
2025-08-02,Widget A,27,945
2025-09-11,Widget C,12,144
2025-03-21,Widget A,15,195
2025-09-18,Widget B,12,132
2025-03-11,Widget E,9,189
2025-07-28,Widget B,13,572
2025-02-11,Widget C,17,221
2025-03-26,Widget B,50,1750
2025-03-22,Widget B,22,1078
2025-02-23,Widget A,45,1710
2025-08-11,Widget B,8,144
2025-10-24,Widget B,15,165
2025-04-30,Widget B,32,800
2025-08-12,Widget C,25,975
2025-11-28,Widget D,45,1665
2025-02-01,Widget C,18,540
2025-10-01,Widget C,21,1008
2025-06-22,Widget E,36,684
2025-06-05,Widget B,6,198
2025-09-08,Widget C,33,924
2025-10-22,Widget B,5,130
2025-07-14,Widget D,47,1081
2025-05-15,Widget A,32,1472
2025-10-11,Widget D,11,176
2025-08-22,Widget B,22,352
2025-06-25,Widget E,25,725
2025-08-14,Widget B,46,2024
2025-11-02,Widget B,41,2009
2025-01-03,Widget A,13,637
2025-07-22,Widget C,16,592
2025-08-29,Widget A,32,1088
2025-07-20,Widget C,42,1974
2025-01-16,Widget D,43,2150
2025-12-08,Widget A,18,810
2025-12-02,Widget D,40,800
2025-12-08,Widget B,13,377
2025-08-13,Widget D,30,1290
2025-04-08,Widget E,48,576
2025-08-18,Widget C,36,1764
2025-05-19,Widget A,31,1364
2025-07-21,Widget A,29,580
2025-05-04,Widget B,40,1600
2025-12-24,Widget E,17,221
2025-01-02,Widget A,42,1344
2025-12-23,Widget C,22,946
2025-01-24,Widget C,20,640
2025-11-28,Widget D,27,756
2025-12-30,Widget C,8,232
2025-01-26,Widget C,39,1053
2025-04-01,Widget C,4,88
2025-09-30,Widget C,1,37
2025-07-13,Widget B,45,1710
2025-06-13,Widget D,9,333
2025-09-28,Widget C,35,1715
2025-07-19,Widget D,31,496
2025-12-10,Widget D,47,2115
2025-10-16,Widget E,4,92
2025-11-01,Widget C,4,124
2025-01-26,Widget A,19,646
2025-07-21,Widget C,33,1452
2025-09-02,Widget A,21,693
2025-08-17,Widget C,36,576
2025-08-09,Widget E,18,576
2025-11-09,Widget A,42,1722
2025-12-22,Widget D,39,1560
2025-06-06,Widget D,1,28
2025-07-28,Widget B,27,999
2025-11-21,Widget B,15,390
2025-07-20,Widget A,10,160
2025-10-20,Widget E,49,735
2025-10-06,Widget B,35,1260
2025-08-27,Widget E,17,289
2025-03-15,Widget B,24,1176
2025-10-14,Widget C,22,924
2025-05-02,Widget C,17,714
2025-08-21,Widget D,40,880
2025-04-16,Widget C,24,552
2025-12-07,Widget A,30,1050
2025-12-20,Widget B,25,1150
2025-10-17,Widget D,5,195
2025-06-07,Widget E,3,99
2025-02-25,Widget C,43,1548
2025-04-12,Widget A,40,880
2025-10-17,Widget E,25,1225
2025-06-18,Widget E,40,1800
2025-10-28,Widget B,17,816
2025-10-23,Widget B,33,594
2025-05-15,Widget B,9,189
2025-06-07,Widget B,2,58
2025-03-05,Widget A,32,448
2025-04-13,Widget D,31,1085
2025-04-14,Widget D,1,46
2025-07-09,Widget E,34,1326
2025-05-04,Widget C,11,341
2025-01-10,Widget B,50,550
2025-10-22,Widget E,3,81
2025-07-16,Widget C,37,555
2025-06-20,Widget A,13,286
2025-09-17,Widget D,20,740
2025-06-24,Widget D,50,1800
2025-03-25,Widget E,29,1015
2025-10-22,Widget B,38,494
2025-02-12,Widget E,37,1665
2025-10-29,Widget E,4,84
2025-09-17,Widget C,50,750
2025-03-06,Widget A,9,324
2025-02-25,Widget A,7,315
2025-06-02,Widget C,7,350
2025-10-09,Widget E,4,56
2025-04-23,Widget A,26,1196
2025-03-02,Widget A,13,247
2025-11-12,Widget E,36,1584
2025-08-16,Widget E,45,765
2025-04-08,Widget D,40,1320
2025-05-22,Widget D,18,432
2025-05-31,Widget E,22,352
2025-07-01,Widget A,6,174
2025-03-05,Widget B,6,204
2025-12-09,Widget E,49,980
2025-01-30,Widget D,30,510
2025-09-04,Widget D,1,10
2025-04-10,Widget A,7,84
2025-09-29,Widget A,27,945
2025-09-28,Widget A,20,860
2025-12-13,Widget B,21,231
2025-01-09,Widget D,25,1000
2025-06-04,Widget D,33,858
2025-09-15,Widget E,27,567
2025-04-27,Widget A,44,1980
2025-04-17,Widget B,36,1080
2025-10-13,Widget D,17,595
2025-04-22,Widget E,11,286
2025-09-02,Widget B,49,1862
2025-01-16,Widget C,8,344
2025-07-11,Widget E,22,462
2025-06-30,Widget D,22,814
2025-02-17,Widget E,19,456
2025-02-09,Widget B,8,216
2025-11-23,Widget E,4,112
2025-03-06,Widget E,40,960
2025-01-14,Widget A,14,266
2025-09-14,Widget D,7,336
2025-09-12,Widget A,47,1551
2025-06-23,Widget B,36,1476
2025-07-02,Widget A,42,504
2025-01-27,Widget C,47,1222
2025-05-23,Widget B,14,210
2025-07-15,Widget C,31,713
2025-10-21,Widget D,47,1034
2025-07-16,Widget A,19,570
2025-07-26,Widget A,5,75
2025-12-17,Widget E,8,80
2025-04-30,Widget C,3,93
2025-07-15,Widget A,39,897
2025-06-20,Widget E,24,936
2025-08-26,Widget A,14,504
2025-10-30,Widget D,34,544
2025-09-19,Widget E,31,1457
2025-04-01,Widget E,11,451
2025-02-26,Widget C,43,1806
2025-07-05,Widget B,40,1840
2025-06-08,Widget C,24,792
2025-07-09,Widget D,10,430
2025-07-18,Widget E,47,1974
2025-04-29,Widget E,9,225
2025-06-11,Widget C,3,36
2025-11-23,Widget B,18,810
2025-06-26,Widget D,8,152
2025-09-25,Widget D,22,418
2025-12-09,Widget A,20,280
2025-07-12,Widget C,35,385
2025-07-22,Widget A,46,2116
2025-07-27,Widget B,15,150
2025-11-04,Widget E,34,884
2025-06-04,Widget E,50,1450
2025-02-09,Widget A,3,54
2025-07-14,Widget A,7,189
2025-08-23,Widget E,7,119
2025-10-23,Widget C,21,462
2025-05-04,Widget D,10,120
2025-09-13,Widget C,16,688
2025-11-05,Widget C,1,16
2025-08-04,Widget A,17,170
2025-07-19,Widget D,48,1920
2025-04-07,Widget B,13,260
2025-11-10,Widget D,6,90
2025-03-12,Widget B,11,242
2025-11-24,Widget C,38,1368
2025-08-02,Widget E,47,1410
2025-01-05,Widget B,24,984
2025-05-21,Widget B,20,640
2025-07-05,Widget D,14,574
2025-04-18,Widget E,31,1519
2025-02-14,Widget E,43,1978
2025-06-26,Widget E,14,476
2025-03-03,Widget C,28,868
2025-10-31,Widget A,17,646
2025-10-29,Widget C,32,768
2025-11-10,Widget E,49,735
2025-01-05,Widget A,40,1760
2025-10-01,Widget B,47,1504
2025-11-18,Widget C,30,1350
2025-07-11,Widget B,12,312
2025-03-01,Widget D,1,31
2025-03-01,Widget C,36,540
2025-04-15,Widget B,1,29
2025-07-27,Widget A,36,1332
2025-08-09,Widget C,23,276
2025-06-21,Widget D,49,1568
2025-06-26,Widget D,28,952
2025-08-18,Widget E,29,870
2025-11-21,Widget A,48,528
2025-08-17,Widget C,38,1634
2025-01-23,Widget E,42,504
2025-02-11,Widget D,42,1722
2025-12-28,Widget B,41,779
2025-10-13,Widget A,27,1269
2025-03-03,Widget E,46,1610
2025-07-24,Widget E,42,1806
2025-12-26,Widget C,48,864
2025-06-09,Widget A,49,1421
2025-03-10,Widget B,24,1008
2025-04-10,Widget B,12,432
2025-09-09,Widget D,41,1435
2025-12-27,Widget E,40,1520
2025-11-08,Widget D,20,900
2025-02-17,Widget E,41,1558
2025-12-04,Widget A,17,510
2025-07-26,Widget C,45,1170
2025-04-20,Widget E,21,567
2025-02-16,Widget C,14,686
2025-01-27,Widget E,4,132
2025-04-25,Widget C,28,1036
2025-01-13,Widget D,40,1840
2025-06-05,Widget C,3,135
2025-02-03,Widget D,32,992
2025-05-14,Widget D,30,1170
2025-10-04,Widget A,42,1848
2025-05-23,Widget B,43,860
2025-10-25,Widget B,38,1596
2025-01-01,Widget E,14,560
2025-09-13,Widget A,32,384
2025-02-03,Widget D,43,1720
2025-04-20,Widget E,28,1148
2025-06-07,Widget A,20,300
2025-03-03,Widget A,34,612
2025-03-21,Widget C,36,1332
2025-06-16,Widget A,21,420
2025-02-15,Widget D,15,615
2025-10-19,Widget D,42,1386
2025-01-22,Widget E,23,736
2025-06-05,Widget E,2,20
2025-09-20,Widget D,18,324
2025-03-25,Widget D,29,493
2025-07-21,Widget A,24,504
2025-04-18,Widget B,34,1122
2025-10-19,Widget D,12,480
2025-01-19,Widget E,2,68
2025-09-09,Widget E,19,456
2025-02-23,Widget D,4,152
2025-12-13,Widget A,37,1258
2025-03-05,Widget E,36,1800
2025-08-10,Widget A,24,840
2025-08-20,Widget C,25,375
2025-12-09,Widget C,3,48
2025-09-10,Widget D,6,234
2025-11-09,Widget E,24,1080
2025-04-04,Widget E,29,957
2025-11-01,Widget E,3,51
2025-12-08,Widget C,24,600
2025-09-25,Widget D,25,1025
2025-01-25,Widget A,41,1599
2025-10-07,Widget C,2,90
2025-11-17,Widget A,1,24
2025-04-19,Widget E,6,72
2025-09-29,Widget B,44,968
2025-08-07,Widget A,28,812
2025-03-08,Widget E,10,460
2025-02-17,Widget E,21,378
2025-08-16,Widget A,19,532
2025-03-19,Widget E,13,403
2025-01-03,Widget C,24,648
2025-08-30,Widget B,13,195
2025-09-16,Widget D,27,702
2025-02-11,Widget E,50,700
2025-11-05,Widget E,12,276
2025-04-16,Widget E,6,150
2025-01-10,Widget E,17,799
2025-03-27,Widget D,18,198
2025-06-03,Widget D,39,1365
2025-04-14,Widget A,46,2070
2025-01-02,Widget C,16,432
2025-10-30,Widget E,32,992
2025-06-07,Widget B,15,720
2025-04-10,Widget B,20,340
2025-04-27,Widget C,42,2058
2025-11-27,Widget B,21,840
2025-03-15,Widget E,35,840
2025-10-26,Widget D,2,66
2025-05-16,Widget B,35,1015
2025-02-28,Widget E,18,324
2025-12-23,Widget B,8,344
2025-07-30,Widget D,29,522
2025-10-31,Widget C,15,165
2025-06-19,Widget A,3,84
2025-12-31,Widget B,48,1248
2025-05-22,Widget E,3,78
2025-10-20,Widget C,29,580
2025-12-01,Widget C,1,38
2025-11-03,Widget A,39,468
2025-08-12,Widget E,29,870
2025-06-24,Widget E,25,825
2025-09-11,Widget E,7,231
2025-12-04,Widget C,18,288
2025-07-15,Widget A,43,1290
2025-07-09,Widget E,24,288
2025-02-01,Widget D,14,322
2025-05-08,Widget E,50,2350
2025-10-28,Widget A,29,1102
2025-01-29,Widget A,39,390
2025-09-21,Widget E,2,80
2025-03-31,Widget A,8,232
2025-10-25,Widget C,41,1148
2025-06-11,Widget B,50,1650
2025-05-27,Widget C,46,1012
2025-09-02,Widget A,27,864
2025-09-15,Widget D,32,480
2025-01-07,Widget B,5,210
2025-03-23,Widget A,31,837
2025-11-24,Widget C,9,180
2025-06-19,Widget C,39,624
2025-10-10,Widget E,40,680
2025-10-29,Widget B,32,640
2025-08-09,Widget A,35,805
2025-01-05,Widget D,37,740
2025-03-25,Widget E,14,238
2025-01-11,Widget C,16,240
2025-07-26,Widget B,44,1232
2025-03-13,Widget C,9,396
2025-10-14,Widget B,28,868
2025-01-26,Widget E,4,184
2025-01-09,Widget D,21,777
2025-05-12,Widget C,26,1170
2025-05-21,Widget C,34,612
2025-07-05,Widget E,35,700
2025-11-20,Widget B,30,960
2025-03-15,Widget B,43,1161
2025-09-12,Widget E,10,450
2025-12-20,Widget E,40,1040
2025-02-26,Widget D,27,594
2025-01-13,Widget B,10,460
2025-09-07,Widget D,17,289
2025-03-19,Widget D,9,315
2025-11-19,Widget B,11,121
2025-07-19,Widget D,34,510
2025-01-02,Widget A,18,288
2025-08-08,Widget C,27,594
2025-09-07,Widget C,16,512
2025-03-10,Widget E,43,516
2025-02-17,Widget B,39,1599
2025-11-01,Widget E,30,960
2025-11-04,Widget A,48,1584
2025-11-01,Widget E,9,99
2025-07-28,Widget A,7,196
2025-05-23,Widget E,29,841
2025-07-16,Widget C,42,588
2025-08-02,Widget A,10,280
2025-12-04,Widget E,46,782
2025-06-19,Widget E,14,350
2025-07-06,Widget A,33,1122
2025-01-23,Widget D,11,330
2025-08-21,Widget E,6,198
2025-09-03,Widget B,34,850
2025-11-03,Widget D,6,240
2025-08-17,Widget C,6,228
2025-11-30,Widget A,29,319
2025-05-30,Widget D,44,1540
2025-09-29,Widget D,3,87
2025-05-12,Widget C,43,473
2025-09-16,Widget B,13,182
2025-06-22,Widget C,24,720
2025-08-19,Widget B,40,1320
2025-05-10,Widget E,39,1248
2025-07-01,Widget E,23,1012
2025-09-04,Widget C,36,936
2025-12-31,Widget A,9,171
2025-06-18,Widget A,10,100
2025-03-01,Widget C,10,300
2025-09-07,Widget B,31,1519
2025-08-03,Widget E,10,280
2025-05-27,Widget A,24,360
2025-11-17,Widget D,46,1840
2025-09-03,Widget E,49,735
2025-11-09,Widget C,12,120
2025-04-17,Widget B,27,324
2025-08-21,Widget B,12,132
2025-02-16,Widget B,12,252
2025-01-11,Widget B,33,1518
2025-03-22,Widget E,4,84
2025-03-11,Widget D,6,168
2025-05-11,Widget A,4,196
2025-01-04,Widget D,38,1824
2025-10-21,Widget E,24,552
2025-04-07,Widget D,23,828
2025-01-12,Widget E,46,2116
2025-06-14,Widget B,8,88
2025-02-14,Widget A,50,550
2025-04-23,Widget A,15,195
2025-09-12,Widget A,21,1029
2025-01-02,Widget B,35,1540
2025-04-17,Widget B,42,1596
2025-06-21,Widget E,30,600
2025-12-27,Widget C,46,690
2025-07-30,Widget E,22,462
2025-05-04,Widget E,2,80
2025-12-05,Widget C,7,308
2025-05-17,Widget D,35,910
2025-11-08,Widget C,26,572
2025-05-16,Widget B,9,198
2025-06-18,Widget A,41,1804
2025-02-19,Widget E,29,1073
2025-02-20,Widget A,30,1050
2025-02-21,Widget C,28,784
2025-12-10,Widget A,21,462
2025-07-25,Widget B,7,126
2025-12-26,Widget B,11,220
2025-09-01,Widget C,48,1824
2025-03-11,Widget E,30,1170
2025-06-01,Widget C,43,1462
2025-05-06,Widget B,24,624
2025-10-30,Widget C,42,1134
2025-12-21,Widget A,46,2070
2025-03-08,Widget D,33,1287
2025-12-18,Widget E,41,1681
2025-12-13,Widget B,22,242
2025-03-17,Widget C,16,416
2025-10-06,Widget A,15,165
2025-09-14,Widget A,48,624
2025-12-02,Widget E,34,850
2025-07-18,Widget A,19,323
2025-09-19,Widget E,29,1363
2025-03-17,Widget E,5,160
2025-05-01,Widget C,40,400
2025-03-27,Widget B,2,80
2025-02-04,Widget D,26,572
2025-12-22,Widget C,31,341
2025-03-01,Widget B,25,275
2025-01-20,Widget D,16,320
2025-09-05,Widget A,11,385
2025-04-12,Widget A,3,117
2025-01-15,Widget E,4,196
2025-01-13,Widget C,7,168
2025-10-15,Widget A,28,672
2025-01-17,Widget C,3,69
2025-03-20,Widget D,4,116
2025-01-12,Widget A,24,240
2025-09-24,Widget A,49,1274
2025-10-20,Widget B,32,1600
2025-09-10,Widget E,5,175
2025-11-27,Widget A,44,1540
2025-05-25,Widget B,9,171
2025-12-10,Widget A,19,646
2025-05-03,Widget B,22,946
2025-06-13,Widget E,12,408
2025-10-18,Widget B,27,621
2025-08-04,Widget B,24,600
2025-06-12,Widget C,50,550
2025-01-26,Widget C,32,1248
2025-05-26,Widget A,40,1720
2025-09-07,Widget E,16,416
2025-03-29,Widget A,27,864
2025-02-12,Widget E,33,528
2025-11-01,Widget C,14,322
2025-05-25,Widget C,6,300
2025-07-15,Widget A,49,980
2025-07-07,Widget D,13,273
2025-04-25,Widget B,36,1332
2025-07-23,Widget A,40,1560
2025-06-14,Widget A,47,1692
2025-07-05,Widget E,2,78
2025-07-17,Widget D,25,350
2025-01-06,Widget C,19,589
2025-03-18,Widget E,36,900
2025-06-28,Widget A,23,460
2025-02-16,Widget E,23,805
2025-01-14,Widget B,45,1890
2025-06-23,Widget C,28,448
2025-04-15,Widget D,36,1548
2025-06-01,Widget B,39,780
2025-10-03,Widget B,23,1012
2025-01-23,Widget D,33,363
2025-04-28,Widget C,45,2250
2025-08-24,Widget B,36,900
2025-07-30,Widget B,24,840
2025-08-27,Widget E,13,195
2025-04-24,Widget D,22,924
2025-02-24,Widget C,15,210
2025-06-20,Widget E,4,104
2025-12-01,Widget C,30,1320
2025-04-12,Widget A,14,546
2025-12-01,Widget C,9,198
2025-06-08,Widget D,24,624
2025-10-19,Widget B,27,945
2025-09-19,Widget E,18,468
2025-06-02,Widget B,45,1395
2025-04-09,Widget E,50,950
2025-09-20,Widget D,9,117
2025-02-15,Widget D,12,432
2025-11-05,Widget D,21,609
2025-02-03,Widget D,7,266
2025-11-06,Widget D,46,506
2025-05-19,Widget D,32,992
2025-12-04,Widget E,14,560
2025-03-27,Widget A,35,1365
2025-03-21,Widget E,44,2068
2025-01-15,Widget C,5,185
2025-06-23,Widget B,5,170
2025-05-25,Widget A,45,855
2025-06-10,Widget C,38,1140
2025-06-02,Widget B,33,1221
2025-04-13,Widget E,9,126
2025-01-05,Widget D,8,192
2025-05-15,Widget E,27,1323
2025-02-17,Widget A,25,325
2025-05-15,Widget C,46,1380
2025-08-21,Widget A,42,756
2025-06-17,Widget E,19,665
2025-01-10,Widget D,19,570
2025-02-08,Widget B,3,132
2025-08-23,Widget A,36,1800
2025-05-17,Widget C,2,82
2025-07-04,Widget E,15,405
2025-01-31,Widget E,25,1250
2025-02-09,Widget C,34,1598
2025-01-06,Widget A,29,754
2025-09-26,Widget B,3,66
2025-12-04,Widget C,10,240
2025-01-06,Widget D,4,64
2025-02-06,Widget E,34,510
2025-12-05,Widget B,15,240
2025-04-24,Widget A,50,1550
2025-03-20,Widget C,7,238
2025-08-17,Widget B,30,510
2025-05-25,Widget E,6,150
2025-02-05,Widget E,27,756
2025-05-07,Widget D,43,1978
2025-03-01,Widget B,33,1089
2025-12-04,Widget A,38,570
2025-09-19,Widget A,49,1960
2025-10-05,Widget E,24,408
2025-11-09,Widget D,32,1088
2025-03-12,Widget B,18,702
2025-01-21,Widget C,49,637
2025-07-13,Widget D,21,483
2025-11-27,Widget D,9,153
2025-01-04,Widget E,44,1848
2025-04-05,Widget E,36,504
2025-03-13,Widget A,4,172
2025-12-19,Widget D,18,216
2025-06-12,Widget D,32,1504
2025-12-05,Widget E,28,700
2025-05-04,Widget B,31,775
2025-09-15,Widget E,37,999
2025-11-21,Widget C,33,1584
2025-04-10,Widget C,44,1452
2025-01-02,Widget E,36,1656
2025-06-19,Widget A,13,494
2025-03-17,Widget D,28,728
2025-11-15,Widget A,40,960
2025-08-20,Widget B,3,78
2025-08-12,Widget B,3,81
2025-01-24,Widget A,13,286
2025-08-22,Widget C,27,540
2025-10-04,Widget A,36,1656
2025-07-04,Widget B,44,660
2025-04-17,Widget C,6,114
2025-06-23,Widget C,47,1222
2025-05-26,Widget C,18,792
2025-12-06,Widget C,44,1012
2025-12-17,Widget A,37,1813
2025-11-27,Widget C,19,589
2025-05-24,Widget C,18,504
2025-02-17,Widget C,20,500
2025-07-04,Widget C,37,1665
2025-09-18,Widget A,10,330
2025-07-22,Widget B,18,522
2025-04-08,Widget A,42,1554
2025-05-03,Widget D,21,714
2025-05-08,Widget C,3,129
2025-10-09,Widget D,1,18
2025-09-25,Widget D,40,1640
2025-09-04,Widget B,13,442
2025-12-14,Widget D,12,444
2025-09-21,Widget B,45,2115
2025-12-03,Widget B,50,2350
2025-07-27,Widget A,7,224
2025-03-03,Widget A,30,420
2025-03-25,Widget A,50,1000
2025-04-07,Widget B,2,64
2025-10-17,Widget B,5,200
2025-01-13,Widget A,9,324
2025-12-06,Widget E,18,648
2025-03-19,Widget B,11,506
2025-04-12,Widget A,39,1599
2025-08-22,Widget C,33,396
2025-05-29,Widget E,1,47
2025-11-21,Widget C,1,42
2025-12-16,Widget E,12,444
2025-09-20,Widget B,22,462
2025-09-21,Widget B,46,506
2025-05-21,Widget C,16,784
2025-05-11,Widget C,19,893
2025-04-14,Widget A,41,410
